Pathway identifier,Pathway name,#Entities found,#Entities total,#Interactors found,#Interactors total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Submitted entities hit interactor,Interacts with,Found reaction identifiers
R-HSA-1989781,"PPARA activates gene expression",2,175,1,400,0.011611704598235021,0.4335328953498221,0.5504492279831177,2,41,0.00300454345595779,9606,Homo sapiens,"AGT","P01019;ENSG00000135744",JRK,P13196,"R-HSA-1989774;R-HSA-1592238"
R-HSA-2173782,"Binding and Uptake of Ligands by Scavenger Receptors",1,168,0,62,0.01114723641430562,0.44933109443271235,0.5504492279831177,2,33,0.0024182910743074893,9606,Homo sapiens,"SAA1","",,,"R-HSA-2512800;R-HSA-2197646"
R-HSA-9634638,"Estrogen-dependent nuclear events downstream of ESR-membrane signaling",0,29,1,211,0.0019242253334218035,0.4550948667739194,0.5504492279831177,1,12,8.793785724754507E-4,9606,Homo sapiens,"","",VGF,P01100,"R-HSA-9625465"
R-HSA-450282,"MAPK targets/ Nuclear events mediated by MAP kinases",0,35,2,209,0.0023223409196470044,0.4565265208487207,0.5504492279831177,4,16,0.0011725047633006009,9606,Homo sapiens,"","",VGF;TFF1,P01100;P05412,"R-HSA-450292;R-HSA-450325;R-HSA-168440;R-HSA-168136"
R-HSA-5625886,"Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3",0,49,1,185,0.003251277287505806,0.4565265208487207,0.5504492279831177,2,11,8.060970247691632E-4,9606,Homo sapiens,"","",JRK,O60341,"R-HSA-5625870;R-HSA-5625849"
R-HSA-400206,"Regulation of lipid metabolism by PPARalpha",2,177,1,435,0.011744409793643421,0.4591378025725934,0.5504492279831177,2,44,0.0032243880990766526,9606,Homo sapiens,"AGT","P01019;ENSG00000135744",JRK,P13196,"R-HSA-1989774;R-HSA-1592238"
R-HSA-6807505,"RNA polymerase II transcribes snRNA genes",0,94,1,154,0.006237144184194811,0.45937874808232215,0.5504492279831177,1,11,8.060970247691632E-4,9606,Homo sapiens,"","",TAF10,P20226,"R-HSA-6810234"
R-HSA-74751,"Insulin receptor signalling cascade",0,72,1,172,0.004777387034702409,0.4607993399749736,0.5504492279831177,1,25,0.001832038692657189,9606,Homo sapiens,"","",PRKG1,17489,"R-HSA-162425"
R-HSA-9008059,"Interleukin-37 signaling",0,36,1,206,0.0023886935173512043,0.4636295269716657,0.5504492279831177,2,14,0.0010259416678880258,9606,Homo sapiens,"","",PCK2,P84022,"R-HSA-9008692;R-HSA-9009910"
R-HSA-1912408,"Pre-NOTCH Transcription and Translation",0,89,2,155,0.005905381195673811,0.4636295269716657,0.5504492279831177,1,28,0.0020518833357760515,9606,Homo sapiens,"","",TFF1;VGF,P05412,"R-HSA-1912401"
R-HSA-180024,"DARPP-32 events",0,35,1,212,0.0023223409196470044,0.4692461736426534,0.5504492279831177,3,12,8.793785724754507E-4,9606,Homo sapiens,"","",PRKG1,17489,"R-HSA-9644869;R-HSA-8951727;R-HSA-111962"
R-HSA-6806667,"Metabolism of fat-soluble vitamins",0,89,1,165,0.005905381195673811,0.4761857531232905,0.5504492279831177,1,34,0.002491572622013777,9606,Homo sapiens,"","",AGT,Q8N0U8,"R-HSA-6806647"
R-HSA-5250924,"B-WICH complex positively regulates rRNA expression",0,62,1,195,0.004113861057660408,0.4803066170167416,0.5504492279831177,1,3,2.1984464311886268E-4,9606,Homo sapiens,"","",TAF10,Q92831,"R-HSA-5250930"
R-HSA-76005,"Response to elevated platelet cytosolic Ca2+",1,148,0,105,0.009820184460221617,0.4803066170167416,0.5504492279831177,1,14,0.0010259416678880258,9606,Homo sapiens,"ORM1","",,,"R-HSA-481007"
R-HSA-983170,"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",0,103,1,164,0.006834317563532612,0.48303614221465985,0.5504492279831177,2,16,0.0011725047633006009,9606,Homo sapiens,"","",MYBPHL,P27797,"R-HSA-983161;R-HSA-983142"
R-HSA-381426,"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",1,127,0,134,0.008426779908433416,0.489798467372627,0.5504492279831177,1,14,0.0010259416678880258,9606,Homo sapiens,"VGF","",,,"R-HSA-8952289"
R-HSA-73762,"RNA Polymerase I Transcription Initiation",0,50,1,225,0.003317629885210006,0.4924789891956419,0.5504492279831177,1,6,4.3968928623772536E-4,9606,Homo sapiens,"","",TAF10,P20226,"R-HSA-73729"
R-HSA-9010553,"Regulation of expression of SLITs and ROBOs",0,183,1,87,0.012142525379868622,0.49647384107705284,0.5504492279831177,1,20,0.0014656309541257512,9606,Homo sapiens,"","",CHRDL2,O75093,"R-HSA-9010396"
R-HSA-74752,"Signaling by Insulin receptor",0,97,1,175,0.006436201977307412,0.49911989071485663,0.5504492279831177,1,34,0.002491572622013777,9606,Homo sapiens,"","",PRKG1,17489,"R-HSA-162425"
R-HSA-9679191,"Potential therapeutics for SARS",0,91,2,185,0.006038086391082211,0.5082738943395455,0.5504492279831177,1,34,0.002491572622013777,9606,Homo sapiens,"","",AGT;AGT,Q9BYF1,"R-HSA-9683488"
R-HSA-418555,"G alpha (s) signalling events",1,187,1,90,0.012407935770685422,0.5108589882247172,0.5504492279831177,9,26,0.0019053202403634766,9606,Homo sapiens,"CRH","P06850",PRKG1,17489,"R-HSA-379044;R-HSA-9708261;R-HSA-392129;R-HSA-8951727;R-HSA-9705507;R-HSA-9629675;R-HSA-744887;R-HSA-744886;R-HSA-418553"
R-HSA-1489509,"DAG and IP3 signaling",0,53,1,224,0.0035166876783226065,0.5108589882247172,0.5504492279831177,3,28,0.0020518833357760515,9606,Homo sapiens,"","",PRKG1,17489,"R-HSA-111955;R-HSA-8951727;R-HSA-111930"
R-HSA-4641265,"Repression of WNT target genes",1,16,0,260,0.0010616415632672019,0.5134307249039565,0.5504492279831177,4,7,5.129708339440129E-4,9606,Homo sapiens,"LEF1","",,,"R-HSA-8944349;R-HSA-8944352;R-HSA-4641231;R-HSA-5229348"
R-HSA-438064,"Post NMDA receptor activation events",0,96,1,188,0.006369849379603211,0.5185343975550794,0.5504492279831177,2,39,0.0028579803605452148,9606,Homo sapiens,"","",PRKG1,17489,"R-HSA-8951727;R-HSA-442715"
R-HSA-5620920,"Cargo trafficking to the periciliary membrane",0,57,1,243,0.0037820980691394067,0.5185343975550794,0.5504492279831177,1,27,0.001978601788069764,9606,Homo sapiens,"","",PCK2,Q9BXC9,"R-HSA-5624125"
R-HSA-6803207,"TP53 Regulates Transcription of Caspase Activators and Caspases",0,20,1,275,0.0013270519540840024,0.5298260827305311,0.5504492279831177,1,17,0.0012457863110068885,9606,Homo sapiens,"","",MYBPHL,P55212,"R-HSA-6798126"
R-HSA-9013694,"Signaling by NOTCH4",0,92,1,206,0.006104438988786411,0.5310645337134623,0.5504492279831177,1,20,0.0014656309541257512,9606,Homo sapiens,"","",PCK2,P84022,"R-HSA-9605414"
R-HSA-450294,"MAP kinase activation",0,69,2,242,0.004578329241589808,0.5335318257852462,0.5504492279831177,4,32,0.0023450095266012018,9606,Homo sapiens,"","",VGF;TFF1,P01100;P05412,"R-HSA-450292;R-HSA-450325;R-HSA-168440;R-HSA-168136"
R-HSA-5693554,"Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)",0,30,1,272,0.0019905779311260034,0.5384281979603694,0.5504492279831177,1,1,7.328154770628756E-5,9606,Homo sapiens,"","",TMEM176B,Q92993,"R-HSA-5693589"
R-HSA-3214847,"HATs acetylate histones",1,110,0,199,0.007298785747462013,0.5384281979603694,0.5504492279831177,1,15,0.0010992232155943133,9606,Homo sapiens,"TAF10","",,,"R-HSA-3301237"
R-HSA-5610787,"Hedgehog 'off' state",0,124,1,184,0.008227722115320815,0.5384281979603694,0.5504492279831177,2,32,0.0023450095266012018,9606,Homo sapiens,"","",PRKG1,17489,"R-HSA-5610727;R-HSA-5610749"
R-HSA-73854,"RNA Polymerase I Promoter Clearance",0,85,1,228,0.00563997080485701,0.540857407395587,0.5504492279831177,1,10,7.328154770628756E-4,9606,Homo sapiens,"","",TAF10,P20226,"R-HSA-73729"
R-HSA-112043,"PLC beta mediated events",0,67,1,236,0.004445624046181408,0.5420672960826121,0.5504492279831177,3,32,0.0023450095266012018,9606,Homo sapiens,"","",PRKG1,17489,"R-HSA-111955;R-HSA-8951727;R-HSA-111930"
R-HSA-9664323,"FCGR3A-mediated IL10 synthesis",0,141,1,161,0.009355716276292217,0.5432740514128636,0.5504492279831177,2,20,0.0014656309541257512,9606,Homo sapiens,"","",PRKG1,17489,"R-HSA-8951727;R-HSA-111930"
R-HSA-448424,"Interleukin-17 signaling",0,77,2,243,0.005109150023223409,0.5444776813590736,0.5504492279831177,4,35,0.0025648541697200645,9606,Homo sapiens,"","",VGF;TFF1,P01100;P05412,"R-HSA-450292;R-HSA-450325;R-HSA-168440;R-HSA-168136"
R-HSA-5693568,"Resolution of D-loop Structures through Holliday Junction Intermediates",0,36,1,279,0.0023886935173512043,0.5456781938740467,0.5504492279831177,3,9,6.59533929356588E-4,9606,Homo sapiens,"","",TMEM176B,Q92993,"R-HSA-5686469;R-HSA-5686483;R-HSA-5686410"
R-HSA-5693537,"Resolution of D-Loop Structures",0,37,1,280,0.0024550461150554042,0.5480698983221945,0.5504492279831177,4,10,7.328154770628756E-4,9606,Homo sapiens,"","",TMEM176B,Q92993,"R-HSA-5693589;R-HSA-5686469;R-HSA-5686483;R-HSA-5686410"
R-HSA-1912422,"Pre-NOTCH Expression and Processing",0,114,2,195,0.007564196138278813,0.5480698983221945,0.5504492279831177,1,38,0.002784698812838927,9606,Homo sapiens,"","",TFF1;VGF,P05412,"R-HSA-1912401"
R-HSA-112040,"G-protein mediated events",0,73,1,236,0.0048437396324066085,0.5492611060617953,0.5504492279831177,4,41,0.00300454345595779,9606,Homo sapiens,"","",PRKG1,17489,"R-HSA-111955;R-HSA-170676;R-HSA-8951727;R-HSA-111930"
R-HSA-4086400,"PCP/CE pathway",0,99,1,212,0.006568907172715812,0.5492611060617953,0.5504492279831177,2,24,0.0017587571449509014,9606,Homo sapiens,"","",JRK,Q96MT3,"R-HSA-4608855;R-HSA-4608852"
R-HSA-674695,"RNA Polymerase II Pre-transcription Events",1,85,0,252,0.00563997080485701,0.5504492279831177,0.5504492279831177,3,17,0.0012457863110068885,9606,Homo sapiens,"TAF10","",,,"R-HSA-75856;R-HSA-75862;R-HSA-73946"
R-HSA-418346,"Platelet homeostasis",1,118,0,193,0.007829606529095614,0.552816245766943,0.552816245766943,3,30,0.0021984464311886266,9606,Homo sapiens,"PRKG1","",,,"R-HSA-418549;R-HSA-418451;R-HSA-418442"
R-HSA-5625740,"RHO GTPases activate PKNs",1,80,1,243,0.00530820781633601,0.5656175503719836,0.5656175503719836,3,20,0.0014656309541257512,9606,Homo sapiens,"PCK2","Q16513",JRK,O60341,"R-HSA-5623667;R-HSA-5625870;R-HSA-5625849"
R-HSA-73864,"RNA Polymerase I Transcription",0,87,1,250,0.00577267600026541,0.5679060528397337,0.5679060528397337,1,14,0.0010259416678880258,9606,Homo sapiens,"","",TAF10,P20226,"R-HSA-73729"
R-HSA-2173796,"SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription",0,38,1,292,0.0025213987127596046,0.5679060528397337,0.5679060528397337,1,19,0.0013923494064194636,9606,Homo sapiens,"","",ORM1,P05121,"R-HSA-2106586"
R-HSA-500792,"GPCR ligand binding",3,606,0,583,0.04020967420874527,0.56802478907981,0.56802478907981,6,187,0.013703649421075773,9606,Homo sapiens,"CRH;SAA1;AGT","",,,"R-HSA-8937613;R-HSA-9615348;R-HSA-8937631;R-HSA-374173;R-HSA-420173;R-HSA-391913"
R-HSA-9613829,"Chaperone Mediated Autophagy",0,23,1,302,0.0015261097471966027,0.5701827053489509,0.5701827053489509,4,19,0.0013923494064194636,9606,Homo sapiens,"","",MYBPHL,P14136,"R-HSA-9626034;R-HSA-9626039;R-HSA-9626046;R-HSA-9625197"
R-HSA-191273,"Cholesterol biosynthesis",0,77,1,251,0.005109150023223409,0.5735755972393431,0.5735755972393431,1,35,0.0025648541697200645,9606,Homo sapiens,"","",KIAA1644,Q8IY26,"R-HSA-8952137"
R-HSA-428157,"Sphingolipid metabolism",1,158,0,185,0.01048371043726362,0.5846962391148249,0.5846962391148249,1,64,0.0046900190532024036,9606,Homo sapiens,"ORM1","",,,"R-HSA-428127"
R-HSA-2151201,"Transcriptional activation of mitochondrial biogenesis",0,88,1,263,0.005839028597969611,0.5868859179657306,0.5868859179657306,1,32,0.0023450095266012018,9606,Homo sapiens,"","",JRK,P13196,"R-HSA-1592238"
R-HSA-422356,"Regulation of insulin secretion",0,106,2,240,0.007033375356645213,0.5912312924191796,0.5912312924191796,5,34,0.002491572622013777,9606,Homo sapiens,"","",TMEM176B;PRKG1,P17252;17489,"R-HSA-381668;R-HSA-381607;R-HSA-400015;R-HSA-381608;R-HSA-381707"
R-HSA-5250913,"Positive epigenetic regulation of rRNA expression",0,80,1,282,0.00530820781633601,0.5955317395937563,0.5955317395937563,1,7,5.129708339440129E-4,9606,Homo sapiens,"","",TAF10,Q92831,"R-HSA-5250930"
R-HSA-9020702,"Interleukin-1 signaling",1,109,0,283,0.007232433149757813,0.6008448145016758,0.6008448145016758,1,47,0.0034442327421955153,9606,Homo sapiens,"SAA1","",,,"R-HSA-168166"
R-HSA-1433557,"Signaling by SCF-KIT",0,51,1,315,0.0033839824829142062,0.6018991689265459,0.6018991689265459,1,39,0.0028579803605452148,9606,Homo sapiens,"","",TMEM176B,P17252,"R-HSA-1433508"
R-HSA-5689896,"Ovarian tumor domain proteases",0,44,1,320,0.0029195142989848055,0.6039996733167192,0.6039996733167192,1,14,0.0010259416678880258,9606,Homo sapiens,"","",JRK,Q9UGI0,"R-HSA-6781905"
R-HSA-187037,"Signaling by NTRK1 (TRKA)",2,143,1,667,0.009488421471700616,0.6071106329588096,0.6071106329588096,5,102,0.007474717866041331,9606,Homo sapiens,"VGF","ENSG00000128564;O15240",MYBPHL,Q15078,"R-HSA-9620723;R-HSA-9620663;R-HSA-9616110;R-HSA-9621054;R-HSA-9620717"
R-HSA-75153,"Apoptotic execution phase",2,54,2,749,0.0035830402760268065,0.6078162717567493,0.6078162717567493,3,57,0.004177048219258391,9606,Homo sapiens,"HIST1H1D","P16403;P16402",JRK;LEF1,P35222,"R-HSA-211239;R-HSA-202969;R-HSA-211247"
R-HSA-1236974,"ER-Phagosome pathway",0,173,1,195,0.011478999402826621,0.6092033995215325,0.6092033995215325,3,10,7.328154770628756E-4,9606,Homo sapiens,"","",MYBPHL,P27797,"R-HSA-8951595;R-HSA-8863858;R-HSA-8863914"
R-HSA-5685938,"HDR through Single Strand Annealing (SSA)",0,39,1,332,0.0025877513104638045,0.6122933162702533,0.6122933162702533,1,6,4.3968928623772536E-4,9606,Homo sapiens,"","",TMEM176B,Q92993,"R-HSA-5686657"
R-HSA-9707564,"Cytoprotection by HMOX1",0,158,1,210,0.01048371043726362,0.6122933162702533,0.6122933162702533,4,37,0.0027114172651326396,9606,Homo sapiens,"","",LEF1,Q16236,"R-HSA-8932284;R-HSA-8932334;R-HSA-8932322;R-HSA-8932327"
R-HSA-3214858,"RMTs methylate histone arginines",0,55,1,321,0.0036493928737310064,0.6122933162702533,0.6122933162702533,2,22,0.0016121940495383263,9606,Homo sapiens,"","",AGT,O14744,"R-HSA-3215391;R-HSA-3215406"
R-HSA-416993,"Trafficking of GluR2-containing AMPA receptors",0,23,1,341,0.0015261097471966027,0.61331794318365,0.61331794318365,3,3,2.1984464311886268E-4,9606,Homo sapiens,"","",JRK,Q9NRD5,"R-HSA-421007;R-HSA-416639;R-HSA-416985"
R-HSA-2179392,"EGFR Transactivation by Gastrin",0,13,1,356,8.625837701546015E-4,0.6163758832335876,0.6163758832335876,1,6,4.3968928623772536E-4,9606,Homo sapiens,"","",TMEM176B,P17252,"R-HSA-400015"
R-HSA-2871796,"FCERI mediated MAPK activation",0,124,2,256,0.008227722115320815,0.6224206380136187,0.6224206380136187,3,20,0.0014656309541257512,9606,Homo sapiens,"","",VGF;TFF1,P01100;P05412,"R-HSA-450292;R-HSA-450325;R-HSA-168136"
R-HSA-6804757,"Regulation of TP53 Degradation",0,43,1,341,0.002853161701280605,0.6244146787126243,0.6244146787126243,2,30,0.0021984464311886266,9606,Homo sapiens,"","",JRK,O75604,"R-HSA-5689972;R-HSA-6805022"
R-HSA-2559583,"Cellular Senescence",2,200,2,662,0.013270519540840024,0.6265155915739504,0.6265155915739504,4,90,0.00659533929356588,9606,Homo sapiens,"HIST1H1D","P16403;P16402",VGF;TFF1,P01100;P05412,"R-HSA-450292;R-HSA-450325;R-HSA-168136;R-HSA-4647594"
R-HSA-1236975,"Antigen processing-Cross presentation",0,195,1,195,0.012938756552319023,0.6313126595602829,0.6313126595602829,3,23,0.0016854755972446139,9606,Homo sapiens,"","",MYBPHL,P27797,"R-HSA-8951595;R-HSA-8863858;R-HSA-8863914"
R-HSA-5689880,"Ub-specific processing proteases",1,206,1,189,0.013668635127065225,0.6313126595602829,0.6313126595602829,2,40,0.0029312619082515023,9606,Homo sapiens,"TAF10","Q12962",JRK,O75604,"R-HSA-5689972;R-HSA-5690080"
R-HSA-8936459,"RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function",0,78,3,321,0.005175502620927609,0.6399988000667668,0.6399988000667668,5,33,0.0024182910743074893,9606,Homo sapiens,"","",TAF10;SIX3;SMOC1,Q92570;Q92831,"R-HSA-8936616;R-HSA-8935740;R-HSA-8937037;R-HSA-8938034;R-HSA-8936979"
R-HSA-2173789,"TGF-beta receptor signaling activates SMADs",0,50,1,355,0.003317629885210006,0.642849241709842,0.642849241709842,1,44,0.0032243880990766526,9606,Homo sapiens,"","",PCK2,P84022,"R-HSA-2187375"
R-HSA-5339562,"Uptake and actions of bacterial toxins",0,60,1,347,0.003981155862252007,0.6466153525361381,0.6466153525361381,1,66,0.004836582148614979,9606,Homo sapiens,"","",PRKG1,17489,"R-HSA-5211224"
R-HSA-1834949,"Cytosolic sensors of pathogen-associated DNA ",0,78,2,340,0.005175502620927609,0.6494142967530229,0.6494142967530229,4,50,0.003664077385314378,9606,Homo sapiens,"","",JRK;LEF1,P35222,"R-HSA-3134904;R-HSA-3134901;R-HSA-3134883;R-HSA-3134914"
R-HSA-163685,"Integration of energy metabolism",0,145,2,273,0.009621126667109018,0.6594919346359269,0.6594919346359269,6,62,0.004543455957789828,9606,Homo sapiens,"","",TMEM176B;PRKG1,P17252;17489,"R-HSA-381668;R-HSA-381607;R-HSA-400015;R-HSA-164377;R-HSA-381608;R-HSA-381707"
R-HSA-5685942,"HDR through Homologous Recombination (HRR)",0,72,1,365,0.004777387034702409,0.6621906110850322,0.6621906110850322,4,19,0.0013923494064194636,9606,Homo sapiens,"","",TMEM176B,Q92993,"R-HSA-5693589;R-HSA-5686469;R-HSA-5686483;R-HSA-5686410"
R-HSA-881907,"Gastrin-CREB signalling pathway via PKC and MAPK",0,24,1,397,0.0015924623449008028,0.6648682652217458,0.6648682652217458,1,9,6.59533929356588E-4,9606,Homo sapiens,"","",TMEM176B,P17252,"R-HSA-400015"
R-HSA-399719,"Trafficking of AMPA receptors",0,37,1,383,0.0024550461150554042,0.6666417684286736,0.6666417684286736,3,4,2.931261908251502E-4,9606,Homo sapiens,"","",JRK,Q9NRD5,"R-HSA-421007;R-HSA-416639;R-HSA-416985"
R-HSA-399721,"Glutamate binding, activation of AMPA receptors and synaptic plasticity",0,39,1,392,0.0025877513104638045,0.6762324095453273,0.6762324095453273,3,9,6.59533929356588E-4,9606,Homo sapiens,"","",JRK,Q9NRD5,"R-HSA-421007;R-HSA-416639;R-HSA-416985"
R-HSA-76002,"Platelet activation, signaling and aggregation",2,293,0,644,0.019441311127330635,0.6791636518613877,0.6791636518613877,2,116,0.008500659533929356,9606,Homo sapiens,"ORM1;DGKQ","",,,"R-HSA-426240;R-HSA-481007"
R-HSA-388396,"GPCR downstream signalling",4,792,2,1016,0.052551257381726495,0.679370214038028,0.679370214038028,22,173,0.012677707753187748,9606,Homo sapiens,"DGKQ;CRH;SAA1;AGT","P01019;P52824;P06850;P0DJI8",TMEM176B;PRKG1,P17252;17489,"R-HSA-379044;R-HSA-749448;R-HSA-392129;R-HSA-749454;R-HSA-426240;R-HSA-749452;R-HSA-8951727;R-HSA-400015;R-HSA-380073;R-HSA-379048;R-HSA-9708261;R-HSA-111955;R-HSA-9644869;R-HSA-170676;R-HSA-9705507;R-HSA-9629675;R-HSA-749456;R-HSA-111930;R-HSA-111962;R-HSA-744887;R-HSA-744886;R-HSA-418553"
R-HSA-9616222,"Transcriptional regulation of granulopoiesis",1,71,0,375,0.004711034436998209,0.679652250153221,0.679652250153221,2,27,0.001978601788069764,9606,Homo sapiens,"LEF1","",,,"R-HSA-9622386;R-HSA-9616243"
R-HSA-1251985,"Nuclear signaling by ERBB4",0,47,1,403,0.0031185720920974057,0.6897001800081128,0.6897001800081128,1,34,0.002491572622013777,9606,Homo sapiens,"","",MYBPHL,P14136,"R-HSA-1253321"
R-HSA-373076,"Class A/1 (Rhodopsin-like receptors)",2,412,0,549,0.02733727025413045,0.6928296803350424,0.6928296803350424,3,160,0.01172504763300601,9606,Homo sapiens,"SAA1;AGT","",,,"R-HSA-9615348;R-HSA-374173;R-HSA-391913"
R-HSA-2559580,"Oxidative Stress Induced Senescence",0,114,2,357,0.007564196138278813,0.6937948098962633,0.6937948098962633,3,40,0.0029312619082515023,9606,Homo sapiens,"","",VGF;TFF1,P01100;P05412,"R-HSA-450292;R-HSA-450325;R-HSA-168136"
R-HSA-418594,"G alpha (i) signalling events",2,426,1,502,0.02826620662198925,0.695737959705082,0.695737959705082,10,74,0.005422834530265279,9606,Homo sapiens,"SAA1;AGT","P01019;P0DJI8",PRKG1,17489,"R-HSA-111955;R-HSA-392129;R-HSA-749454;R-HSA-9644869;R-HSA-170676;R-HSA-8951727;R-HSA-749456;R-HSA-111930;R-HSA-111962;R-HSA-380073"
R-HSA-5693571,"Nonhomologous End-Joining (NHEJ)",0,57,1,420,0.0037820980691394067,0.6986383174994175,0.6986383174994175,1,13,9.526601201817383E-4,9606,Homo sapiens,"","",TMEM176B,Q92993,"R-HSA-5693599"
R-HSA-162599,"Late Phase of HIV Life Cycle",1,163,0,318,0.01081547342578462,0.6994382153239401,0.6994382153239401,12,78,0.0057159607210904295,9606,Homo sapiens,"TAF10","",,,"R-HSA-9613490;R-HSA-167474;R-HSA-167136;R-HSA-167121;R-HSA-167477;R-HSA-9613498;R-HSA-167130;R-HSA-167113;R-HSA-167097;R-HSA-167118;R-HSA-167134;R-HSA-167484"
R-HSA-8853884,"Transcriptional Regulation by VENTX",1,48,2,423,0.0031849246898016056,0.7034065115901114,0.7034065115901114,2,13,9.526601201817383E-4,9606,Homo sapiens,"LEF1","Q9UJU2",JRK;LEF1,P35222,"R-HSA-8853956;R-HSA-8853965"
R-HSA-9009391,"Extra-nuclear estrogen signaling",0,111,1,372,0.0073651383451662136,0.7049793726962295,0.7049793726962295,1,39,0.0028579803605452148,9606,Homo sapiens,"","",VGF,P01100,"R-HSA-9625465"
R-HSA-975138,"TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation",1,101,2,408,0.006701612368124212,0.7134846909966995,0.7134846909966995,5,48,0.003517514289901803,9606,Homo sapiens,"SAA1","P0DJI8",VGF;TFF1,P01100;P05412,"R-HSA-450292;R-HSA-450325;R-HSA-168166;R-HSA-168440;R-HSA-168136"
R-HSA-975871,"MyD88 cascade initiated on plasma membrane",1,94,2,432,0.006237144184194811,0.7224884833775131,0.7224884833775131,5,58,0.004250329766964678,9606,Homo sapiens,"SAA1","P0DJI8",VGF;TFF1,P01100;P05412,"R-HSA-450292;R-HSA-450325;R-HSA-168166;R-HSA-168440;R-HSA-168136"
R-HSA-168142,"Toll Like Receptor 10 (TLR10) Cascade",1,94,2,436,0.006237144184194811,0.724695625346018,0.724695625346018,5,59,0.004323611314670966,9606,Homo sapiens,"SAA1","P0DJI8",VGF;TFF1,P01100;P05412,"R-HSA-450292;R-HSA-450325;R-HSA-168166;R-HSA-168440;R-HSA-168136"
R-HSA-162587,"HIV Life Cycle",1,178,0,341,0.011810762391347622,0.7254274985815552,0.7254274985815552,12,117,0.008573941081635644,9606,Homo sapiens,"TAF10","",,,"R-HSA-9613490;R-HSA-167474;R-HSA-167136;R-HSA-167121;R-HSA-167477;R-HSA-9613498;R-HSA-167130;R-HSA-167113;R-HSA-167097;R-HSA-167118;R-HSA-167134;R-HSA-167484"
R-HSA-168176,"Toll Like Receptor 5 (TLR5) Cascade",1,94,2,436,0.006237144184194811,0.7254274985815552,0.7254274985815552,5,59,0.004323611314670966,9606,Homo sapiens,"SAA1","P0DJI8",VGF;TFF1,P01100;P05412,"R-HSA-450292;R-HSA-450325;R-HSA-168166;R-HSA-168440;R-HSA-168136"
R-HSA-9664433,"Leishmania parasite growth and survival",1,297,1,202,0.019706721518147435,0.7268855134657752,0.7268855134657752,4,40,0.0029312619082515023,9606,Homo sapiens,"CRH","P06850",PRKG1,17489,"R-HSA-392129;R-HSA-8951727;R-HSA-9660824;R-HSA-111930"
R-HSA-9662851,"Anti-inflammatory response favouring Leishmania parasite infection",1,297,1,202,0.019706721518147435,0.7268855134657752,0.7268855134657752,4,40,0.0029312619082515023,9606,Homo sapiens,"CRH","P06850",PRKG1,17489,"R-HSA-392129;R-HSA-8951727;R-HSA-9660824;R-HSA-111930"
R-HSA-975155,"MyD88 dependent cascade initiated on endosome",1,102,2,441,0.0067679649658284125,0.7340622235481395,0.7340622235481395,5,63,0.004616737505496116,9606,Homo sapiens,"SAA1","P0DJI8",VGF;TFF1,P01100;P05412,"R-HSA-450292;R-HSA-450325;R-HSA-168166;R-HSA-168440;R-HSA-168136"
R-HSA-168181,"Toll Like Receptor 7/8 (TLR7/8) Cascade",1,103,2,441,0.006834317563532612,0.7347696179818608,0.7347696179818608,5,66,0.004836582148614979,9606,Homo sapiens,"SAA1","P0DJI8",VGF;TFF1,P01100;P05412,"R-HSA-450292;R-HSA-450325;R-HSA-168166;R-HSA-168440;R-HSA-168136"
R-HSA-168255,"Influenza Infection",0,198,1,329,0.013137814345431624,0.7347696179818608,0.7347696179818608,1,59,0.004323611314670966,9606,Homo sapiens,"","",MYBPHL,P27797,"R-HSA-169921"
R-HSA-8878159,"Transcriptional regulation by RUNX3",1,118,0,414,0.007829606529095614,0.7361788636653237,0.7361788636653237,5,47,0.0034442327421955153,9606,Homo sapiens,"LEF1","",,,"R-HSA-4411367;R-HSA-8951442;R-HSA-8951443;R-HSA-8951428;R-HSA-4411357"
R-HSA-1592230,"Mitochondrial biogenesis",0,128,1,398,0.008493132506137615,0.7361788636653237,0.7361788636653237,1,36,0.002638135717426352,9606,Homo sapiens,"","",JRK,P13196,"R-HSA-1592238"
R-HSA-168138,"Toll Like Receptor 9 (TLR9) Cascade",1,106,2,445,0.007033375356645213,0.7396698634625434,0.7396698634625434,5,68,0.004983145244027554,9606,Homo sapiens,"SAA1","P0DJI8",VGF;TFF1,P01100;P05412,"R-HSA-450292;R-HSA-450325;R-HSA-168166;R-HSA-168440;R-HSA-168136"
R-HSA-3769402,"Deactivation of the beta-catenin transactivating complex",1,44,2,489,0.0029195142989848055,0.7410535163642735,0.7410535163642735,7,14,0.0010259416678880258,9606,Homo sapiens,"LEF1","Q9UJU2",JRK;LEF1,P35222,"R-HSA-3361751;R-HSA-5368580;R-HSA-3772430;R-HSA-3364042;R-HSA-3769383;R-HSA-5665608;R-HSA-5626938"
