Gene	OF2_OO_sc.1	OF2_OO_sc.2	OF2_OO_sc.3	OF2_OO_sc.4	OF2_OO_sc.5	OF2_OO_sc.6	OF2_OO_sc.7	OF2_OO_sc.8	OF2_OO_sc.9	OF2_OO_sc.10	OF2_OO_sc.11	OF2_OO_sc.12	OF2_OO_sc.13	OF2_OO_sc.14	OF2_OO_sc.15	OF2_OO_sc.16	OF2_OO_sc.17	OF2_OO_sc.18	OF2_OO_sc.19	OF2_OO_sc.20	OF2_OO_sc.21	OF2_OO_sc.22	OF2_OO_sc.23	OF2_OO_sc.24	OF2_OO_sc.25	OF2_OO_sc.27	OF2_OO_sc.28	OF2_OO_sc.29	OF2_OO_sc.30	OF2_OO_sc.31	OF2_OO_sc.32	OF2_OO_sc.33	OF2_OO_sc.34	OF2_OO_sc.35	OF2_OO_sc.36	OF2_OO_sc.37	OF2_OO_sc.38
FAM92A	0	0	0	0	0	1	0	0	1	0	56	13	28	1	5	1	6	9	0	2	35	6	9	14	14	0	3	1	1	0	7	1	0	8	0	6	2
FAM92B	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
FAM96B	2	7	1	4	3	5	0	6	53	2	418	358	257	2	10	5	46	63	1	23	194	121	39	183	29	3	0	1	4	3	5	24	1	56	25	22	10
FAM98A	5	1	0	5	1	1	1	4	56	0	130	253	198	0	27	0	71	49	2	13	221	83	53	204	26	9	0	1	8	0	11	16	0	31	28	4	3
FAM98B	0	0	0	3	3	1	3	4	3	0	31	39	40	2	39	3	17	15	0	4	16	24	18	47	8	0	0	3	3	0	0	0	0	1	3	0	2
FAM9A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
FAM9B	0	1	0	3	0	0	2	2	11	0	2	138	93	1	18	1	41	20	0	10	81	29	33	79	10	0	0	1	4	0	4	0	0	2	1	0	0
FAM9C	0	0	0	2	0	0	0	3	10	0	3	88	39	0	9	0	14	33	1	5	33	13	9	52	4	5	0	0	0	0	4	12	0	4	1	5	0
FAN1	1	0	0	3	1	0	0	0	3	0	45	87	53	1	14	0	14	18	0	3	52	18	37	81	17	1	0	0	2	0	2	3	0	0	1	0	0
FANCB	0	0	2	0	0	0	0	0	0	0	7	29	7	0	0	0	3	2	0	1	11	3	0	6	4	3	0	0	0	0	0	0	0	0	0	0	1
FANCC	0	0	0	4	0	0	0	0	0	0	76	66	53	0	6	0	10	8	0	1	33	8	10	28	8	2	0	1	0	0	3	2	0	4	3	0	0
FANCE	0	0	0	0	0	0	1	2	6	0	217	134	66	3	7	0	37	13	0	16	44	19	28	39	22	7	0	1	0	0	5	4	0	3	2	0	1
FANCG	0	0	0	0	0	0	0	0	4	0	22	51	14	0	0	0	3	3	0	1	13	3	2	15	10	1	0	0	0	0	0	0	0	2	2	0	0
FANCI	2	0	0	4	1	0	3	3	16	1	14	230	140	1	8	1	21	17	1	4	149	36	35	155	41	1	0	0	0	2	12	7	0	5	5	1	1
FANCL	1	1	0	6	0	4	0	0	11	0	7	183	108	1	17	2	39	20	0	12	81	72	15	42	4	1	0	0	0	0	6	2	0	3	3	5	1
FANCM	0	0	0	0	2	0	0	0	1	0	64	30	16	1	5	0	9	19	0	0	16	5	5	33	5	2	0	0	1	0	0	1	0	0	1	3	2
FANK1	3	3	0	5	2	2	0	7	14	0	45	156	193	1	4	2	29	21	0	12	192	41	31	84	23	10	3	0	6	1	2	15	0	14	1	9	4
FAP	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAR1	0	0	0	2	0	4	1	0	3	0	52	56	35	1	7	0	5	7	0	5	20	5	12	33	13	0	0	0	2	0	4	0	0	7	6	0	0
FAR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FARP1	2	0	0	2	0	0	0	3	7	0	23	184	108	0	17	3	26	17	0	8	110	31	25	194	22	4	0	0	1	0	6	2	0	1	5	0	1
FARP2	0	0	0	1	0	0	0	0	0	0	7	66	29	2	4	0	4	8	0	2	19	9	18	42	14	1	0	0	1	0	0	0	0	1	2	0	0
FARS2	0	0	0	4	0	0	0	2	0	0	47	202	83	1	2	1	18	9	0	1	80	20	6	35	11	0	0	0	1	0	3	4	0	4	3	0	0
FARSA	0	0	0	2	0	0	1	1	24	0	45	116	74	0	2	0	4	3	1	3	61	11	9	52	11	2	1	0	4	0	0	11	1	25	19	1	3
FARSB	1	1	0	3	2	1	0	2	40	0	68	268	163	1	5	4	27	21	0	7	122	43	25	78	14	6	0	0	3	0	4	17	0	24	14	4	4
FAS	0	0	0	0	0	0	0	0	2	0	5	120	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0
FASLG	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	2	1	0	0	7	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
FASN	0	0	0	0	0	0	0	0	1	0	0	5	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
FASTK	1	0	0	0	0	0	0	0	13	0	83	64	25	0	0	0	2	2	0	0	16	0	8	28	9	5	0	0	0	0	1	8	0	13	1	1	0
FASTKD1	0	0	2	2	0	2	1	3	7	0	35	85	71	0	7	0	25	26	0	2	37	33	17	66	6	1	0	0	0	0	6	2	0	0	0	2	0
FASTKD2	0	0	0	1	0	0	0	0	7	0	77	113	62	0	5	3	20	11	1	3	37	26	7	18	10	0	0	0	1	0	2	2	0	9	5	1	2
FASTKD3	0	0	0	0	0	0	0	1	0	0	5	19	13	0	1	0	7	3	0	0	12	2	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
FAT1	0	0	0	0	0	0	0	0	0	0	23	152	4	0	0	0	2	0	0	0	1	0	4	17	3	1	0	0	0	0	0	1	0	0	1	0	1
FAT2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0
FAT3	0	0	0	0	0	0	0	0	0	0	0	18	5	0	1	0	0	0	0	0	3	2	2	6	0	1	0	0	0	0	0	0	0	1	0	0	0
FAT4	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FATE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAU	3	12	0	14	3	2	1	4	97	3	1234	842	637	14	37	7	101	110	4	26	432	226	116	424	97	27	0	3	9	3	19	56	1	60	94	41	23
FAXC	0	0	0	0	0	0	0	0	1	0	7	10	10	0	2	0	1	1	0	1	13	3	13	13	3	0	0	0	0	0	2	0	0	0	1	0	0
FAXDC2	0	0	0	2	0	0	0	2	0	0	96	59	6	0	3	0	4	1	0	1	7	0	3	10	0	1	0	0	0	0	0	1	0	0	0	0	0
FBF1	0	0	0	1	0	0	0	0	2	0	27	6	1	0	0	0	1	0	0	1	2	1	1	6	0	0	0	0	0	0	0	3	0	2	1	0	0
FBL	1	0	1	2	1	0	0	5	12	0	341	261	137	0	8	5	27	22	0	6	106	28	52	139	24	12	0	1	0	0	8	5	0	5	7	0	2
FBLIM1	0	0	0	0	0	0	0	0	0	0	25	102	40	1	2	0	3	4	0	0	23	7	16	59	13	0	0	0	0	0	4	0	0	3	4	0	0
FBLL1	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FBLN1	0	0	0	0	0	0	0	0	8	0	99	14	12	0	0	0	1	1	0	0	8	0	4	17	8	4	0	0	0	0	0	0	0	3	1	0	1
FBLN2	0	0	0	0	1	0	0	0	4	0	2	34	26	0	1	0	2	1	0	0	20	3	6	34	3	0	0	0	0	0	1	0	0	2	1	0	0
FBLN5	3	1	0	7	0	2	1	1	20	0	6	339	184	0	8	2	34	22	0	13	166	52	56	115	25	9	0	2	3	2	13	20	0	24	22	5	2
FBLN7	0	0	0	0	0	0	0	0	2	0	1	19	6	0	1	0	1	1	0	0	2	4	0	9	0	0	0	0	0	0	0	1	0	2	0	0	0
FBN1	0	0	0	0	0	0	0	0	3	0	55	72	17	0	0	0	11	13	0	5	13	7	0	24	1	1	0	0	1	0	1	1	0	0	0	1	0
FBN2	0	0	0	0	0	0	0	1	1	0	4	22	20	0	3	0	3	2	0	1	16	3	3	30	2	1	0	0	0	0	1	0	0	0	4	1	0
FBN3	0	0	0	0	0	0	0	2	2	0	0	18	12	0	1	0	0	0	0	0	9	2	1	24	0	0	0	0	0	0	2	3	0	4	1	0	2
FBP1	0	0	0	1	0	2	0	2	41	1	22	42	45	2	0	0	5	2	0	1	30	4	8	46	36	6	0	0	0	1	0	11	0	20	21	3	0
FBP2	0	1	0	0	0	0	0	0	2	0	1	2	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBRS	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXL12	0	0	0	0	0	0	0	0	0	0	36	41	7	0	0	0	2	0	0	0	5	0	5	7	1	0	0	0	0	0	0	0	0	3	1	1	0
FBXL13	0	0	0	0	0	0	0	0	0	0	13	17	2	0	1	0	3	0	0	1	5	2	0	6	2	0	0	0	0	0	1	0	0	0	0	2	2
FBXL14	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXL15	0	0	0	1	0	0	0	0	18	0	63	433	208	1	13	0	32	29	1	2	134	51	49	114	25	5	0	0	0	0	3	8	0	8	3	2	8
FBXL16	0	0	0	0	0	0	0	0	0	0	2	27	18	1	2	0	2	0	0	0	27	1	4	33	10	2	0	0	0	0	2	0	0	0	0	0	1
FBXL17	0	0	0	0	0	0	0	0	1	0	8	3	1	0	0	0	1	0	0	0	7	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1
FBXL18	0	0	0	0	0	0	0	0	0	0	4	17	2	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXL19	0	0	0	0	0	0	0	0	0	0	22	2	0	0	0	0	0	0	0	0	0	0	2	8	3	0	0	0	0	0	1	0	0	0	0	0	0
FBXL20	0	0	1	1	0	1	0	0	3	0	16	71	52	0	10	0	8	3	0	1	18	5	1	20	0	1	0	0	0	0	0	4	0	1	3	0	2
FBXL22	4	0	0	1	0	0	0	0	1	0	4	15	16	0	2	1	5	1	0	3	28	10	4	12	0	0	0	0	0	0	0	0	0	1	0	0	0
FBXL3	0	1	0	2	1	0	4	5	5	0	69	69	115	0	18	2	35	40	0	9	87	24	32	92	16	6	0	0	1	0	15	5	0	0	3	0	0
FBXL4	0	1	0	0	0	0	0	0	6	0	19	23	12	0	6	0	3	6	0	0	5	2	3	10	0	1	0	0	0	0	2	1	0	0	2	0	0
FBXL5	4	0	1	2	1	1	3	5	15	1	55	389	252	1	33	0	81	64	0	22	217	83	48	129	17	3	0	0	2	0	6	5	0	13	11	2	2
FBXL6	0	0	0	0	0	0	0	0	3	0	50	34	72	2	0	0	2	3	0	2	44	10	18	84	17	1	0	0	0	0	0	2	0	1	0	1	1
FBXL7	0	0	0	2	0	0	0	0	0	0	91	57	76	0	7	0	9	11	0	2	47	25	15	69	12	2	0	2	0	0	4	0	0	0	0	0	1
FBXO10	0	0	0	0	0	0	0	1	5	0	15	31	53	1	1	0	11	6	0	4	46	6	11	68	12	2	0	0	0	1	1	2	0	0	0	0	2
FBXO11	0	1	2	1	0	0	0	0	5	1	115	56	107	0	19	0	34	31	0	7	72	22	40	104	5	1	0	1	0	0	18	7	0	3	2	6	0
FBXO15	1	0	1	1	0	0	0	3	8	1	17	108	52	1	8	2	15	16	0	2	27	30	17	71	13	5	0	0	0	0	1	3	1	3	8	1	0
FBXO16	0	0	0	0	0	0	0	0	0	0	20	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
FBXO2	0	0	0	0	0	0	0	0	2	0	3	114	20	1	0	0	3	5	1	0	17	2	3	28	11	1	0	0	0	0	0	1	0	0	2	0	0
FBXO21	0	2	0	0	1	0	1	2	3	2	211	37	35	0	12	2	18	19	1	9	34	18	14	33	3	2	0	2	0	0	11	1	0	7	10	0	1
FBXO22	1	1	0	7	3	1	0	6	37	0	65	377	205	1	27	1	62	58	2	20	126	111	25	99	12	6	0	1	3	1	9	22	1	47	33	7	7
FBXO25	3	0	2	6	0	7	1	11	51	0	41	324	187	1	28	7	73	65	1	40	143	100	80	254	40	19	4	4	11	1	20	21	0	17	19	2	10
FBXO27	0	0	0	0	1	0	0	0	3	0	8	297	29	0	2	0	5	3	0	3	31	16	5	38	6	2	0	0	0	0	0	0	1	0	0	0	0
FBXO28	0	1	0	1	0	0	0	0	3	1	48	24	26	0	0	0	4	5	0	2	25	3	7	16	3	1	0	0	1	0	0	0	0	0	0	0	1
FBXO3	0	0	1	8	6	2	0	3	8	0	17	71	69	1	25	1	55	57	0	9	78	51	37	60	11	0	0	1	3	0	7	5	0	9	8	2	7
FBXO30	1	0	0	1	1	0	0	0	4	0	29	92	63	1	13	0	23	32	0	3	38	21	23	50	5	3	0	0	0	0	12	0	0	0	0	0	0
FBXO31	0	0	0	0	0	0	0	0	3	0	76	14	10	1	0	0	2	3	0	0	5	2	7	14	4	6	0	0	0	0	0	0	0	0	4	2	0
FBXO32	0	0	2	5	0	1	1	1	7	0	108	132	66	2	10	1	17	4	1	6	58	40	27	91	11	0	0	0	0	0	17	4	1	3	6	4	4
FBXO33	0	0	0	2	0	0	1	1	4	0	15	118	126	0	25	0	31	39	0	7	72	27	37	112	15	0	0	0	0	0	18	3	0	3	0	0	1
FBXO34	0	1	0	0	0	1	3	6	18	0	25	233	171	0	17	0	36	25	0	7	91	41	52	210	16	5	0	0	4	0	5	1	0	6	5	4	0
FBXO36	1	0	0	1	3	1	0	1	0	0	2	67	41	0	0	1	10	6	0	2	17	19	4	10	0	0	0	0	0	0	7	1	0	0	0	1	0
FBXO38	0	0	0	0	0	1	3	0	4	0	40	30	45	0	7	0	8	12	4	3	19	8	25	32	6	1	0	0	1	0	0	0	0	0	0	0	0
FBXO39	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXO4	0	0	0	3	0	0	0	0	3	0	30	42	57	0	4	0	21	11	0	5	47	48	5	34	4	2	0	0	0	0	5	0	0	3	2	6	0
FBXO40	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXO41	0	0	0	0	0	0	0	0	6	0	2	13	16	0	1	0	1	0	0	2	19	2	3	10	3	0	0	0	0	0	0	3	0	0	0	1	2
FBXO42	0	0	0	0	0	0	0	0	1	1	44	25	15	0	0	0	2	2	0	0	12	7	8	13	6	0	0	0	0	0	0	3	0	2	1	0	0
FBXO43	0	0	0	0	0	0	0	1	0	0	2	44	32	0	8	3	14	14	0	1	35	9	18	53	8	0	0	0	0	0	4	1	0	0	0	0	0
FBXO44	0	0	0	0	0	0	0	0	1	0	17	40	5	0	0	1	1	2	0	0	11	1	4	12	1	0	0	0	0	0	0	0	0	1	1	0	0
FBXO45	0	0	0	0	0	0	0	0	0	0	2	24	19	0	0	1	2	4	0	0	2	2	3	12	2	1	0	0	0	0	0	0	0	0	0	1	0
FBXO46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXO47	0	0	0	0	0	0	0	0	2	0	0	11	6	0	1	0	0	0	0	3	10	0	0	3	0	0	0	0	0	0	2	0	0	1	0	0	0
FBXO48	0	0	0	0	1	0	0	0	0	0	5	16	10	0	3	0	9	6	0	0	2	4	2	3	0	2	0	0	0	0	0	1	0	0	1	2	0
FBXO5	0	0	1	3	1	0	1	1	11	0	68	435	162	3	75	5	106	169	0	5	139	58	40	132	17	1	0	3	3	0	18	6	0	1	4	0	0
FBXO6	1	0	0	2	0	0	0	0	9	0	12	443	82	0	2	0	17	16	0	3	51	19	12	51	10	3	0	0	0	0	2	0	0	5	1	0	0
FBXO7	0	3	0	4	1	0	0	0	13	1	263	341	197	2	19	0	18	34	0	9	153	29	63	153	51	17	0	2	1	0	7	7	0	20	17	0	5
FBXO8	0	1	0	0	0	0	1	5	9	0	43	175	51	0	2	0	13	10	0	1	55	19	8	27	6	2	0	0	2	1	1	7	0	7	5	1	0
FBXO9	0	1	0	0	3	5	0	1	11	0	50	782	182	0	28	2	58	59	0	8	114	48	37	94	16	3	0	0	3	1	11	0	0	5	8	2	0
FBXW11	0	0	0	2	3	0	0	6	13	0	167	182	123	1	27	3	30	38	0	9	101	30	58	179	26	10	0	0	0	0	15	1	0	2	8	1	1
FBXW12	1	2	1	12	1	2	3	6	20	0	13	876	573	1	74	8	275	372	0	43	465	303	67	242	18	10	0	3	6	0	33	9	0	6	16	4	1
FBXW2	0	0	2	4	1	0	0	0	5	0	38	171	54	2	4	0	14	23	0	5	58	14	16	65	10	4	0	0	0	0	2	5	0	3	5	0	1
FBXW4	0	0	0	0	0	0	1	0	1	0	142	45	33	0	0	0	4	1	0	0	32	5	15	38	5	2	0	0	0	0	0	6	0	0	1	0	0
FBXW5	0	0	0	0	0	0	0	0	4	0	76	39	12	0	0	0	1	0	0	1	10	2	5	13	5	2	0	0	0	0	0	2	0	0	0	0	1
FBXW7	0	0	0	4	0	0	2	1	18	2	132	169	158	4	24	7	69	39	3	8	137	55	77	216	46	5	0	0	0	0	13	6	0	2	2	3	2
FBXW8	0	0	0	0	0	0	0	0	7	0	11	18	15	0	1	0	3	0	0	0	7	3	2	21	2	1	0	0	0	0	0	2	0	4	2	0	0
FBXW9	0	0	0	0	0	0	0	0	8	1	20	146	100	1	4	0	8	0	0	5	71	11	22	81	17	1	0	0	0	0	3	3	0	7	1	3	1
FCAMR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCAR	0	0	0	0	0	0	0	0	1	0	0	9	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FCER1A	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
FCER1G	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	1
FCER2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCGR1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCGR2B	1	0	1	5	4	2	2	9	85	0	201	277	316	2	7	16	17	37	2	41	291	262	41	127	40	17	0	3	3	0	12	5	0	105	11	5	21
FCGR3A	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCGRT	0	0	0	4	1	0	2	2	24	0	647	233	71	3	3	0	10	5	0	1	59	19	37	96	40	1	1	0	0	0	4	5	1	11	4	1	4
FCHO1	0	0	0	0	0	0	1	0	3	2	2	766	150	1	3	0	9	10	0	6	112	18	44	148	28	2	0	0	0	0	2	1	0	2	11	1	1
FCHO2	0	0	0	3	0	2	0	1	6	0	19	34	16	0	4	2	11	6	0	2	12	10	36	94	14	3	0	0	0	1	2	0	1	4	0	0	0
FCHSD1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCHSD2	0	0	0	1	0	0	0	0	4	0	124	35	35	0	5	1	6	5	0	2	23	10	23	38	6	3	0	0	0	0	5	0	0	0	3	2	0
FCMR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCN2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCN3	0	0	0	1	0	0	0	0	0	0	0	16	3	0	0	0	0	1	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
FCRL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCRL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCRL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FCRL4	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
FCRL5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCRL6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCRLA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCRLB	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FDCSP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FDFT1	1	2	0	5	2	1	5	5	55	2	87	845	679	6	70	24	188	127	2	52	621	166	251	612	163	17	0	0	4	1	84	20	1	24	23	17	10
FDX2	1	2	0	1	2	0	0	5	17	0	65	458	363	1	35	1	64	68	0	15	243	148	58	230	27	1	0	0	6	1	20	12	0	18	11	2	8
FDXACB1	0	0	0	0	1	0	0	0	4	1	16	8	3	0	0	0	0	0	0	0	2	1	0	1	0	3	0	0	0	0	0	0	0	0	2	0	0
FDXR	0	0	0	0	0	0	0	1	1	0	342	162	33	0	3	0	7	6	0	2	31	3	10	37	9	3	0	0	0	0	0	1	0	5	2	0	1
FECH	0	0	0	0	0	0	0	0	0	0	49	21	10	0	4	0	4	13	0	1	11	3	4	12	1	0	0	0	0	0	0	0	0	0	0	1	2
FEM1A	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FEM1B	0	0	0	0	0	0	0	1	2	0	124	11	36	1	5	0	10	22	0	3	21	4	21	34	5	1	0	0	0	1	7	3	0	1	0	0	0
FEM1C	0	1	2	0	0	0	0	1	0	0	28	85	30	0	6	0	11	13	0	1	25	4	6	27	9	0	0	1	0	0	0	0	0	1	0	1	0
FEN1	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0	0	9	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0
FER	0	0	0	2	1	0	0	1	1	0	31	141	16	0	3	0	33	28	0	6	13	16	7	19	2	0	0	0	0	0	5	6	0	0	1	0	0
FER1L5	0	0	0	0	0	0	0	0	3	0	15	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FER1L6	0	2	0	3	0	0	0	0	13	0	1	45	20	0	0	0	5	2	1	3	19	6	16	54	1	0	0	0	1	0	0	2	0	4	2	0	1
FERD3L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FERMT1	0	0	0	0	0	0	0	0	0	0	4	658	10	0	2	0	2	6	0	0	23	9	7	8	1	0	0	0	1	0	0	0	0	1	0	0	0
FERMT2	1	0	0	5	0	0	1	7	19	0	146	412	359	1	42	6	106	73	0	37	280	109	136	375	79	6	0	2	2	0	29	9	0	17	22	7	8
FERMT3	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FETUB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FEV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FEZ1	1	0	0	2	0	0	0	0	7	0	93	320	36	0	2	0	13	9	0	1	36	29	11	37	7	7	0	0	0	0	5	6	0	1	4	0	0
FEZ2	0	0	1	2	1	4	0	7	5	0	90	340	397	2	58	4	79	134	0	15	285	170	86	331	56	2	0	3	0	0	46	1	0	0	1	1	0
FEZF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FEZF2	0	0	0	0	0	0	0	1	6	0	1	1	9	0	0	4	3	1	1	0	18	1	4	82	0	0	0	0	0	0	0	0	0	0	0	3	0
FFAR1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFAR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
FFAR4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FGA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGB	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0
FGD1	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGD3	0	0	0	0	0	0	0	0	7	0	19	68	22	0	1	0	4	2	0	3	35	5	18	75	19	1	0	0	0	0	0	4	0	3	0	1	0
FGD4	0	0	0	3	0	0	0	1	10	0	119	143	87	0	12	0	16	13	0	7	73	29	42	104	15	0	0	0	2	0	8	3	0	3	5	2	0
FGD5	0	0	0	0	0	0	0	0	1	0	2	93	54	1	7	0	14	9	0	1	31	4	23	44	2	0	0	0	0	0	0	1	0	1	0	0	0
FGD6	2	0	0	1	0	0	0	0	4	0	44	113	67	0	9	0	30	34	0	2	34	18	26	65	5	0	0	0	2	0	6	3	0	2	2	1	0
FGF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
